t,phase,role,pid,rss_kb,pss_kb,hwm_kb,vsz_kb,threads,cpu_jiffies,mem_available_kb
134.5,measure,java,235948,1054268,1050814,1054488,5119612,30,2325,1417496
135.5,measure,java,235948,1054268,1050814,1054488,5119612,30,2325,1417496
136.5,measure,java,235948,1054268,1050814,1054488,5119612,30,2326,1417496
137.5,measure,java,235948,1054268,1050814,1054488,5119612,30,2327,1417504
138.5,measure,java,235948,1054268,1050814,1054488,5119612,30,2327,1417504
139.6,measure,java,235948,1054268,1050814,1054488,5119612,30,2327,1417504
140.6,measure,java,235948,1054272,1050818,1054488,5119612,30,2327,1417504
141.6,measure,java,235948,1054272,1050818,1054488,5119612,30,2328,1417504
142.6,measure,java,235948,1054272,1050818,1054488,5119612,30,2328,1417504
143.6,measure,java,235948,1054272,1050818,1054488,5119612,30,2328,1417504
144.6,measure,java,235948,1054272,1050818,1054488,5119612,30,2328,1417504
145.6,measure,java,235948,1054272,1050818,1054488,5119612,30,2328,1417504
146.6,measure,java,235948,1054272,1050818,1054488,5119612,30,2328,1417512
147.6,measure,java,235948,1054272,1050818,1054488,5119612,30,2329,1417512
148.7,measure,java,235948,1054272,1050818,1054488,5119612,30,2329,1417512
149.7,measure,java,235948,1054272,1050818,1054488,5119612,30,2329,1417028
150.7,measure,java,235948,1054272,1050818,1054488,5119612,30,2329,1417028
151.7,measure,java,235948,1054272,1050818,1054488,5119612,30,2329,1417028
152.7,measure,java,235948,1054272,1050818,1054488,5119612,30,2330,1417028
153.7,measure,java,235948,1054272,1050819,1054488,5119612,30,2330,1416296
154.7,measure,java,235948,1054272,1050819,1054488,5119612,30,2330,1416280
155.7,measure,java,235948,1054272,1050819,1054488,5119612,30,2330,1415540
156.7,measure,java,235948,1054272,1050819,1054488,5119612,30,2330,1415524
157.8,measure,java,235948,1054272,1050819,1054488,5119612,30,2330,1417036
158.8,measure,java,235948,1054272,1050819,1054488,5119612,30,2331,1417040
159.8,measure,java,235948,1054272,1050819,1054488,5119612,30,2331,1417044
160.8,measure,java,235948,1054272,1050819,1054488,5119612,30,2331,1417044
161.8,measure,java,235948,1054272,1050819,1054488,5119612,30,2331,1417044
162.8,measure,java,235948,1054272,1050819,1054488,5119612,30,2331,1417044
163.8,measure,java,235948,1054272,1050819,1054488,5119612,30,2331,1416792
164.8,measure,java,235948,1054272,1050819,1054488,5119612,30,2332,1416792
165.8,measure,java,235948,1054272,1050819,1054488,5119612,30,2332,1416800
166.9,measure,java,235948,1054272,1050819,1054488,5119612,30,2332,1416044
167.9,measure,java,235948,1054272,1050819,1054488,5119612,30,2332,1416044
168.9,measure,java,235948,1054272,1050819,1054488,5119612,30,2332,1416044
169.9,measure,java,235948,1054272,1050819,1054488,5119612,30,2332,1416048
